Unit Code	Unit	Region
PAAL	Palo Alto Battlefield National Historic Site	IMRO
PAAV	Pennsylvania Avenue National Historic Site	NCRO
PACN	Pacific Islands Network	WASO
PAIS	Padre Island National Seashore	IMRO
PARA	Parashant National Monument	PWRO
PECO	Pecos National Historical Park	IMRO
PEFO	Petrified Forest National Park	IMRO
PERI	Pea Ridge National Military Park	MWRO
PETE	Petersburg National Battlefield	NERO
PETR	Petroglyph National Monument	IMRO
PEVI	Perry's Victory and International Peace Memorial	MWRO
PGSO	Pacific Great Basin Support Office NPS Support Office	PWRO
PHSO	Philadelphia Support Office NPS Support Office	NERO
PIEPMT	Pacific Island Exotic Plant Management Team	WASO
PIMA	Hohokam Pima National Monument	IMRO
PIMI	Peirce Mill National Park	NCRO
PINE	Pinelands National Reserve	NERO
PINN	Pinnacles National Monument	PWRO
PIPE	Pipestone National Monument	MWRO
PIRO	Pictured Rocks National Lakeshore	MWRO
PISC	Piscataway Park	NCRO
PISO	Pacific Islands Support Office NPS Support Office	PWRO
PISP	Pipe Spring National Monument	IMRO
POCH	Port Chicago Naval Magazine National Memorial	PWRO
POEX	Pony Express National Historic Trail	IMRO
POGR	Poplar Grove National Cemetery	NERO
POHE	Potomac Heritage National Scenic Trail	NCRO
POPO	Poverty Point National Monument	SERO
PORE	Point Reyes National Seashore	PWRO
PRPA	President's Park (White House)	NCRO
PRSF	Presidio of San Francisco	PWRO
PRWI	Prince William Forest Park	NCRO
PUHE	Puukohola Heiau National Historic Site	PWRO
PUHO	Pu'uhonua o Honaunau National Historical Park	PWRO
PWRO	Pacific West Region NPS Regional Office	PWRO
QUSH	Quinebaug and Shetucket Rivers Valley National Heritage Corridor	NERO
RABR	Rainbow Bridge National Monument	IMRO
REDW	Redwood National Park and State Parks	PWRO
RICH	Richmond National Battlefield Park	NERO
RIGR	Rio Grande Wild and Scenic River	IMRO
ROCA	Roosevelt Campobello International Park	NERO
ROCR	Rock Creek Park	NCRO
ROLA	Ross Lake National Recreation Area	PWRO
ROMN	Rocky Mountain Network	WASO
ROMO	Rocky Mountain National Park	IMRO
RORI	Rosie The Riveter WWII Home Front National Historical Park	PWRO
ROVA	Roosevelt-Vanderbilt Headquarters	NERO
ROWI	Roger Williams National Memorial	NERO
RRBH	Ronald Reagan Boyhood Home National Historic Site	MWRO
RUCA	Russell Cave National Monument	SERO
SAAN	San Antonio Missions National Historical Park	IMRO
SACN	Saint Croix National Scenic River	MWRO
SACR	Saint Croix Island International Historic Site	NERO
SAFE	Santa Fe National Historic Trail	IMRO
SAFR	San Francisco Maritime National Historical Park	PWRO
SAGA	Saint-Gaudens National Historic Site	NERO
SAGU	Saguaro National Park	IMRO
SAHI	Sagamore Hill National Historic Site	NERO
SAIR	Saugus Iron Works National Historic Site	NERO
SAJH	San Juan Island National Historical Park	PWRO
SAJU	San Juan National Historic Site	SERO
SAMA	Salem Maritime National Historic Site	NERO
SAMO	Santa Monica Mountains National Recreation Area	PWRO
SAND	Sand Creek Massacre National Historic Site	IMRO
SAPA	Saint Paul's Church National Historic Site	NERO
SAPU	Salinas Pueblo Missions National Monument	IMRO
SARA	Saratoga National Historical Park	NERO
SARI	Salt River Bay National Historical Park and Ecological Preserve	SERO
SCBL	Scotts Bluff National Monument	MWRO
SCPN	Southern Colorado Plateau Network	WASO
SCRC	Spanish Colonial Research Center	IMRO
SEAC	Southeast Archeological Center	SERO
SEAN	Southeast Alaska Network	WASO
SEBE	Sewall-Belmont House National Historic Site	NCRO
SECN	Southeast Coast Network	WASO
SEEPMT	Southeast Exotic Plant Management Team	WASO
SEKI	Sequoia and Kings Canyon National Parks	PWRO
SELO	Southeast Land Acquisition Office Lands Office	SERO
SEMO	Selma To Montgomery National Historic Trail	SERO
SEQU	Sequoia National Park	PWRO
SERO	Southeast Regional Office	SER
SERO	Southeast Regional Office	SERO
SESO	Southeast Support Office NPS Support Office	SERO
SFAN	San Francisco Bay Area Network	PWRO
SFCN	South Florida/Caribbean Network	WASO
SHEN	Shenandoah National Park	NERO
SHIL	Shiloh National Military Park	SERO
SHNC	Shiloh National Cemetery	SERO
SIEN	Sierra Nevada Network	WASO
SITK	Sitka National Historical Park	AKRO
SLBE	Sleeping Bear Dunes National Lakeshore	MWRO
SOAR	Southern Arizona Office Group Office	IMRO
SODN	Sonoran Desert Network	WASO
SOPN	Southern Plains Network	WASO
SPAR	Springfield Armory National Historic Site	NERO
SPCO	Intermountain Spanish Colonial Res. Center	IMRO
SRNC	Stones River National Cemetery	SERO
STEA	Steamtown National Historic Site	NERO
STLI	Statue Of Liberty National Monument	NERO
STMA	Stephen T. Mather Training Center	WASO
STRI	Stones River National Battlefield	SERO
STSP	Star-Spangled Banner National Historic Trail	NERO
SUAS	Sudbury Assabet and Concord National Wild and Scenic River	NERO
SUCR	Sunset Crater Volcano National Monument	IMRO
SUIT	Suitland Parkway	NCRO
SWAN	Southwest Alaska Network	WASO
TAPR	Tallgrass Prairie National Preserve	MWRO
THCO	Thomas Cole National Historic Site	NERO
THIS	Theodore Roosevelt Island National Memorial	NCRO
THKO	Thaddeus Kosciuszko National Memorial	NERO
THRB	Theodore Roosevelt Birthplace National Historic Site	NERO
THRI	Theodore Roosevelt Inaugural National Historic Site	NERO
THRO	Theodore Roosevelt National Park	MWRO
THST	Thomas Stone National Historic Site	NERO
TICA	Timpanogos Cave National Monument	IMRO
TIMU	Timucuan Ecological and Historic Preserve	SERO
TONT	Tonto National Monument	IMRO
TOSY	Touro Synagogue National Historic Site	NERO
TRTE	Trail of Tears National Historic Trail	IMRO
TUAI	Tuskegee Airmen National Historic Site	SERO
TUIN	Tuskegee Institute National Historic Site	SERO
TUMA	Tumacacori National Historical Park	IMRO
TUPE	Tupelo National Battlefield	SERO
TUZI	Tuzigoot National Monument	IMRO
UCBN	Upper Columbia Basin Network	WASO
ULSG	Ulysses S. Grant National Historic Site	MWRO
UPDE	Upper Delaware National Scenic and Recreation River	NERO
USAR	USS Arizona Memorial	PWRO
USPP	United States Park Police Washington Office	NCRO
VAFO	Valley Forge National Historical Park	NERO
VALR	World War II Valor in the Pacific	PWRO
VAMA	Vanderbilt Mansion National Historic Site	NERO
VICK	Vicksburg National Military Park	SERO
VICR	Virgin Islands Coral Reef National Monument	SERO
VIIS	Virgin Islands National Park	SERO
VINC	Vicksburg National Cemetery	SERO
